Time,symbol,Close,Open,High,Low,Volume
2017-01-20 07:00:00,VNINDEX,686.26,684.05,688.42,684.05,80002540
2017-01-23 07:00:00,VNINDEX,687.15,687.83,689.47,686.46,75819770
2017-01-24 07:00:00,VNINDEX,691.36,687.08,692.75,687.08,92470490
2017-01-25 07:00:00,VNINDEX,697.28,693.07,697.28,691.19,89267610
2017-02-02 07:00:00,VNINDEX,703.18,699.8,703.2,697.71,82117060
2017-02-03 07:00:00,VNINDEX,700.35,704.69,708.1,700.09,119246940
2017-02-06 07:00:00,VNINDEX,700.04,702.02,702.02,696.92,115790760
2017-02-07 07:00:00,VNINDEX,701.91,699.99,703.3,698.99,151064680
2017-02-08 07:00:00,VNINDEX,702.04,702.67,702.77,700.47,131301380
2017-02-09 07:00:00,VNINDEX,700.65,700.93,702.64,700.21,138329170
2017-02-10 07:00:00,VNINDEX,703.78,701.15,704.08,701.15,129049870
2017-02-13 07:00:00,VNINDEX,705.9,704.61,706.47,703.58,158112440
2017-02-14 07:00:00,VNINDEX,706.26,706.41,707.32,703.85,169469810
2017-02-15 07:00:00,VNINDEX,711.57,706.84,711.73,706.84,152178230
2017-02-16 07:00:00,VNINDEX,709.35,712.61,717.57,709.35,189608500
2017-02-17 07:00:00,VNINDEX,707.83,709.52,710.21,705.84,158563960
2017-02-20 07:00:00,VNINDEX,710.59,705.72,711.4,704.41,186577070
2017-02-21 07:00:00,VNINDEX,716.55,711.49,718.06,711.49,198966880
2017-02-22 07:00:00,VNINDEX,717.24,717.77,719.09,715.36,213358850
2017-02-23 07:00:00,VNINDEX,716.87,717.49,719.58,712.36,211235150
2017-02-24 07:00:00,VNINDEX,714.47,716.35,717.94,713.7,231146780
2017-02-27 07:00:00,VNINDEX,717.44,711.7,718.37,711.7,176837600
2017-02-28 07:00:00,VNINDEX,710.79,718.24,719.14,710.79,183667860
2017-03-01 07:00:00,VNINDEX,709.52,710.7,712.49,705.79,211022340
2017-03-02 07:00:00,VNINDEX,707.51,712.68,713.53,707.51,164954330
2017-03-03 07:00:00,VNINDEX,712.62,708.23,712.62,705.83,163479620
2017-03-06 07:00:00,VNINDEX,716.29,714.61,718.04,714.01,156471030
2017-03-07 07:00:00,VNINDEX,716.54,716.46,716.95,714.27,176411640
2017-03-08 07:00:00,VNINDEX,716.6,715.04,718.78,713.89,162940400
2017-03-09 07:00:00,VNINDEX,715.8,715.86,718.23,714.96,185884380
2017-03-10 07:00:00,VNINDEX,712.21,715.85,716.81,712.21,185800020
2017-03-13 07:00:00,VNINDEX,710.17,711.93,712.63,707.63,128790790
2017-03-14 07:00:00,VNINDEX,714.71,709.9,716.49,709.29,125968160
2017-03-15 07:00:00,VNINDEX,713.14,715.63,716.49,713.14,129782600
2017-03-16 07:00:00,VNINDEX,714.92,712.56,715.03,710.66,162314460
2017-03-17 07:00:00,VNINDEX,710.54,715.82,717.1,710.54,235368860
2017-03-20 07:00:00,VNINDEX,715.07,711.44,717.54,711.44,158390700
2017-03-21 07:00:00,VNINDEX,716.18,717.03,718.8,714.78,201545030
2017-03-22 07:00:00,VNINDEX,712.94,715.78,720.68,712.94,254610300
2017-03-23 07:00:00,VNINDEX,719.56,712.61,719.56,712.61,176869560
2017-03-24 07:00:00,VNINDEX,722.14,722.42,724.36,719.95,200241730
